"","Year","Month","Day","Tournament","Round","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts","pts_won","aces","unret","forced_err","pts_won_lte_3_shots","wide","body","t","shots","pt_ending","winners","induced_forced","unforced","serve_return","shots_in_pts_won","shots_in_pts_lost"
"1","2012","04","27","Fes","SF",66,2,3,46,29,20,7,10,7,62,21,11,4,5,38,26,9,66,36,2,0,5,9,6,56,4,355,50,9,6,35,56,159,196
"2","2013","05","16","Rome","R16",48,5,2,37,26,11,8,2,1,60,29,23,6,12,14,5,7,48,34,5,0,4,16,10,14,24,215,38,18,8,12,50,121,94
"3","2013","05","18","Rome","SF",36,1,1,24,7,12,6,6,1,53,19,4,1,2,17,6,10,36,13,1,0,3,6,6,23,7,151,27,3,8,16,40,48,103
"4","2013","06","14","Nuremburg","SF",98,5,3,60,36,38,18,13,9,58,23,18,8,4,21,9,9,98,54,5,1,11,27,20,50,28,251,42,12,12,18,41,107,144
"5","2013","06","21","s_Hertogenbosch","SF",44,1,0,29,17,15,9,5,2,57,34,21,8,9,16,11,5,44,26,1,3,5,10,10,24,10,216,41,17,8,16,48,137,79
"6","2013","06","22","s_Hertogenbosch","F",55,3,4,35,25,20,10,5,3,55,31,20,8,7,24,8,12,55,35,3,2,5,13,8,32,14,225,45,15,10,20,47,133,92
"7","2013","07","14","Budapest","F",102,2,5,70,41,32,15,12,8,95,50,35,24,9,64,28,31,102,56,2,0,8,16,13,66,23,654,112,33,20,59,88,357,297
"8","2013","08","19","New_Haven","F",43,1,1,32,25,11,9,4,4,47,24,19,8,5,6,2,3,43,34,1,5,7,15,12,12,19,136,26,13,8,5,34,105,31
"9","2013","08","23","New_Haven","SF",61,0,3,38,26,23,9,5,2,57,28,26,15,10,30,17,10,61,35,0,1,5,12,17,27,17,275,62,25,10,27,51,167,108
"10","2013","08","27","US_Open","R128",82,5,5,62,41,20,6,8,3,92,47,15,9,1,42,23,14,82,47,5,0,12,20,27,25,30,356,51,10,4,37,73,175,181
"11","2013","08","31","US_Open","R32",36,3,1,29,23,7,3,1,1,41,27,13,5,4,14,6,7,36,26,3,1,4,14,13,10,13,136,25,9,3,13,32,94,42
"12","2013","09","25","Tokyo","R16",83,0,9,51,33,32,12,10,3,111,49,28,17,11,41,17,15,83,45,0,0,15,23,16,41,26,298,75,28,15,32,79,155,143
"13","2013","10","20","Moscow","F",72,1,3,56,33,16,12,5,3,87,45,24,10,13,29,17,9,72,45,1,0,10,18,20,31,19,297,67,23,18,26,65,186,111
"14","2013","10","31","Sofia","RR",45,5,6,26,19,19,6,2,0,43,31,17,7,3,18,5,7,45,25,5,2,4,14,17,11,17,139,29,10,7,12,37,82,57
"15","2013","11","03","Sofia","F",62,2,4,46,32,16,10,4,1,71,31,18,10,6,20,11,5,62,42,2,0,7,12,9,44,9,284,47,16,15,16,58,175,109
"16","2014","01","05","Sydney","R32",61,1,7,40,20,21,5,12,5,58,26,7,3,2,31,12,12,61,25,1,1,4,9,6,41,14,168,31,5,2,24,46,76,92
"17","2014","01","14","Australian_Open","R128",39,3,2,24,19,15,9,2,2,35,22,12,4,2,12,7,3,39,28,3,3,4,11,9,14,16,159,24,6,8,10,27,111,48
"18","2014","01","18","Australian_Open","R32",50,1,3,25,17,25,14,4,2,54,31,19,11,6,24,9,12,50,31,1,1,6,15,17,14,19,257,42,17,4,21,48,134,123
"19","2014","01","20","Australian_Open","R16",66,0,4,42,26,24,14,8,4,82,40,21,12,7,24,17,3,66,40,0,2,9,14,18,22,25,393,49,19,10,20,67,215,178
"20","2014","01","22","Australian_Open","QF",43,2,1,29,13,14,6,9,4,43,13,9,2,5,24,16,7,43,19,2,0,4,6,11,22,10,218,34,7,4,23,35,74,144
"21","2014","02","14","Doha","QF",42,3,0,29,21,13,9,3,3,34,21,31,20,8,10,6,4,42,30,3,0,1,6,9,17,16,205,43,28,5,10,33,146,59
"22","2014","02","15","Doha","SF",66,0,2,45,26,21,9,7,3,64,39,25,10,14,33,11,20,66,35,0,1,6,8,19,25,22,378,67,24,12,31,58,222,156
"23","2014","02","16","Doha","F",55,2,1,37,27,18,11,4,4,59,28,23,13,7,8,5,2,55,38,2,1,6,18,21,17,17,214,38,20,11,7,52,123,91
"24","2014","03","07","Indian_Wells","R64",47,2,1,31,21,16,8,5,3,49,30,24,10,12,17,9,7,47,29,2,0,6,10,12,20,15,230,47,22,9,16,43,148,82
"25","2014","03","09","Indian_Wells","R32",83,5,4,50,39,33,15,8,5,78,33,21,9,5,30,13,13,83,54,5,2,18,29,34,21,28,300,51,14,11,26,61,157,143
"26","2014","03","11","Indian_Wells","R16",69,2,3,37,25,32,13,6,1,75,35,15,9,3,34,14,17,69,38,2,1,10,19,20,26,23,240,56,12,13,31,51,136,104
"27","2014","03","13","Indian_Wells","QF",59,4,3,40,30,19,10,10,10,39,20,17,6,7,20,9,8,59,40,4,0,5,13,20,14,25,198,41,13,11,17,32,113,85
